"Estacion","Fecha inicial","Fecha final","CO"
"""USME""","2025-07-31 22:00","2025-07-31 22:59","515.205"
"""USME""","2025-07-31 21:00","2025-07-31 21:59","744.185"
"""USME""","2025-07-31 20:00","2025-07-31 20:59","835.777"
"""USME""","2025-07-31 19:00","2025-07-31 19:59","480.858"
"""USME""","2025-07-31 18:00","2025-07-31 18:59","148.837"
"""USME""","2025-07-31 17:00","2025-07-31 17:59","125.939"
"""USME""","2025-07-31 16:00","2025-07-31 16:59","114.49"
"""USME""","2025-07-31 15:00","2025-07-31 15:59","148.837"
"""USME""","2025-07-31 14:00","2025-07-31 14:59","286.225"
"""USME""","2025-07-31 13:00","2025-07-31 13:59","160.286"
"""USME""","2025-07-31 12:00","2025-07-31 12:59","217.531"
"""USME""","2025-07-31 11:00","2025-07-31 11:59","228.98"
"""USME""","2025-07-31 10:00","2025-07-31 10:59","240.429"
"""USME""","2025-07-31 09:00","2025-07-31 09:59","366.368"
"""USME""","2025-07-31 08:00","2025-07-31 08:59","996.063"
"""USME""","2025-07-31 07:00","2025-07-31 07:59","824.328"
"""USME""","2025-07-31 06:00","2025-07-31 06:59","881.573"
"""USME""","2025-07-31 05:00","2025-07-31 05:59","732.736"
"""USME""","2025-07-31 04:00","2025-07-31 04:59","320.572"
"""USME""","2025-07-31 03:00","2025-07-31 03:59","274.776"
"""USME""","2025-07-31 02:00","2025-07-31 02:59","183.184"
"""USME""","2025-07-31 01:00","2025-07-31 01:59","148.837"
"""USME""","2025-07-31 00:00","2025-07-31 00:59","171.735"
"""USME""","2025-07-30 23:00","2025-07-30 23:59","492.307"
"""USME""","2025-07-30 22:00","2025-07-30 22:59","446.511"
"""USME""","2025-07-30 21:00","2025-07-30 21:59","778.532"
"""USME""","2025-07-30 20:00","2025-07-30 20:59","641.144"
"""USME""","2025-07-30 19:00","2025-07-30 19:59","583.899"
"""USME""","2025-07-30 18:00","2025-07-30 18:59","996.063"
"""USME""","2025-07-30 17:00","2025-07-30 17:59","515.205"
"""USME""","2025-07-30 16:00","2025-07-30 16:59","412.164"
"""USME""","2025-07-30 15:00","2025-07-30 15:59","309.123"
"""USME""","2025-07-30 14:00","2025-07-30 14:59","240.429"
"""USME""","2025-07-30 13:00","2025-07-30 13:59","240.429"
"""USME""","2025-07-30 12:00","2025-07-30 12:59","297.674"
"""USME""","2025-07-30 11:00","2025-07-30 11:59","286.225"
"""USME""","2025-07-30 10:00","2025-07-30 10:59","286.225"
"""USME""","2025-07-30 09:00","2025-07-30 09:59","309.123"
"""USME""","2025-07-30 08:00","2025-07-30 08:59","354.919"
"""USME""","2025-07-30 07:00","2025-07-30 07:59","583.899"
"""USME""","2025-07-30 06:00","2025-07-30 06:59","538.103"
"""USME""","2025-07-30 05:00","2025-07-30 05:59","400.715"
"""USME""","2025-07-30 04:00","2025-07-30 04:59","297.674"
"""USME""","2025-07-30 03:00","2025-07-30 03:59","206.082"
"""USME""","2025-07-30 02:00","2025-07-30 02:59","206.082"
"""USME""","2025-07-30 01:00","2025-07-30 01:59","194.633"
"""USME""","2025-07-30 00:00","2025-07-30 00:59","217.531"
"""USME""","2025-07-29 23:00","2025-07-29 23:59","228.98"
"""USME""","2025-07-29 22:00","2025-07-29 22:59","286.225"
"""USME""","2025-07-29 21:00","2025-07-29 21:59","320.572"
"""USME""","2025-07-29 20:00","2025-07-29 20:59","446.511"
"""USME""","2025-07-29 19:00","2025-07-29 19:59","538.103"
"""USME""","2025-07-29 18:00","2025-07-29 18:59","744.185"
"""USME""","2025-07-29 17:00","2025-07-29 17:59","538.103"
"""USME""","2025-07-29 16:00","2025-07-29 16:59","389.266"
"""USME""","2025-07-29 15:00","2025-07-29 15:59","297.674"
"""USME""","2025-07-29 14:00","2025-07-29 14:59","228.98"
"""USME""","2025-07-29 13:00","2025-07-29 13:59","263.327"
"""USME""","2025-07-29 12:00","2025-07-29 12:59","274.776"
"""USME""","2025-07-29 11:00","2025-07-29 11:59","389.266"
"""USME""","2025-07-29 10:00","2025-07-29 10:59","309.123"
"""USME""","2025-07-29 09:00","2025-07-29 09:59","274.776"
"""USME""","2025-07-29 08:00","2025-07-29 08:59","332.021"
"""USME""","2025-07-29 07:00","2025-07-29 07:59","435.062"
"""USME""","2025-07-29 06:00","2025-07-29 06:59","1053.308"
"""USME""","2025-07-29 05:00","2025-07-29 05:59","767.083"
"""USME""","2025-07-29 04:00","2025-07-29 04:59","332.021"
"""USME""","2025-07-29 03:00","2025-07-29 03:59","206.082"
"""USME""","2025-07-29 02:00","2025-07-29 02:59","183.184"
"""USME""","2025-07-29 01:00","2025-07-29 01:59","183.184"
"""USME""","2025-07-29 00:00","2025-07-29 00:59","228.98"
"""USME""","2025-07-28 23:00","2025-07-28 23:59","286.225"
"""USME""","2025-07-28 22:00","2025-07-28 22:59","457.96"
"""USME""","2025-07-28 21:00","2025-07-28 21:59","366.368"
"""USME""","2025-07-28 20:00","2025-07-28 20:59","595.348"
"""USME""","2025-07-28 19:00","2025-07-28 19:59","664.042"
"""USME""","2025-07-28 18:00","2025-07-28 18:59","664.042"
"""USME""","2025-07-28 17:00","2025-07-28 17:59","343.47"
"""USME""","2025-07-28 16:00","2025-07-28 16:59","286.225"
"""USME""","2025-07-28 15:00","2025-07-28 15:59","297.674"
"""USME""","2025-07-28 14:00","2025-07-28 14:59","206.082"
"""USME""","2025-07-28 13:00","2025-07-28 13:59","457.96"
"""USME""","2025-07-28 12:00","2025-07-28 12:59","286.225"
"""USME""","2025-07-28 11:00","2025-07-28 11:59","320.572"
"""USME""","2025-07-28 10:00","2025-07-28 10:59","309.123"
"""USME""","2025-07-28 08:00","2025-07-28 08:59","217.531"
"""USME""","2025-07-28 07:00","2025-07-28 07:59","435.062"
"""USME""","2025-07-28 06:00","2025-07-28 06:59","881.573"
"""USME""","2025-07-28 05:00","2025-07-28 05:59","538.103"
"""USME""","2025-07-28 04:00","2025-07-28 04:59","228.98"
"""USME""","2025-07-28 03:00","2025-07-28 03:59","137.388"
"""USME""","2025-07-28 02:00","2025-07-28 02:59","125.939"
"""USME""","2025-07-28 01:00","2025-07-28 01:59","137.388"
"""USME""","2025-07-28 00:00","2025-07-28 00:59","160.286"
"""USME""","2025-07-27 23:00","2025-07-27 23:59","171.735"
"""USME""","2025-07-27 22:00","2025-07-27 22:59","297.674"
"""USME""","2025-07-27 21:00","2025-07-27 21:59","400.715"
"""USME""","2025-07-27 20:00","2025-07-27 20:59","572.45"
"""USME""","2025-07-27 19:00","2025-07-27 19:59","538.103"
"""USME""","2025-07-27 18:00","2025-07-27 18:59","629.695"
"""USME""","2025-07-27 17:00","2025-07-27 17:59","480.858"
"""USME""","2025-07-27 16:00","2025-07-27 16:59","217.531"
"""USME""","2025-07-27 15:00","2025-07-27 15:59","240.429"
"""USME""","2025-07-27 14:00","2025-07-27 14:59","320.572"
"""USME""","2025-07-27 13:00","2025-07-27 13:59","206.082"
"""USME""","2025-07-27 12:00","2025-07-27 12:59","320.572"
"""USME""","2025-07-27 11:00","2025-07-27 11:59","435.062"
"""USME""","2025-07-27 10:00","2025-07-27 10:59","343.47"
"""USME""","2025-07-27 09:00","2025-07-27 09:59","320.572"
"""USME""","2025-07-27 08:00","2025-07-27 08:59","492.307"
"""USME""","2025-07-27 07:00","2025-07-27 07:59","400.715"
"""USME""","2025-07-27 06:00","2025-07-27 06:59","286.225"
"""USME""","2025-07-27 05:00","2025-07-27 05:59","217.531"
