"Estacion","Fecha inicial","Fecha final","NO2"
"""USME""","2025-07-31 22:00","2025-07-31 22:59","39.30036"
"""USME""","2025-07-31 21:00","2025-07-31 21:59","44.94156"
"""USME""","2025-07-31 20:00","2025-07-31 20:59","44.00136"
"""USME""","2025-07-31 19:00","2025-07-31 19:59","27.07776"
"""USME""","2025-07-31 18:00","2025-07-31 18:59","11.09436"
"""USME""","2025-07-31 17:00","2025-07-31 17:59","9.21396"
"""USME""","2025-07-31 16:00","2025-07-31 16:59","6.20532"
"""USME""","2025-07-31 15:00","2025-07-31 15:59","7.89768"
"""USME""","2025-07-31 14:00","2025-07-31 14:59","14.85516"
"""USME""","2025-07-31 13:00","2025-07-31 13:59","8.4618"
"""USME""","2025-07-31 12:00","2025-07-31 12:59","12.2226"
"""USME""","2025-07-31 11:00","2025-07-31 11:59","11.2824"
"""USME""","2025-07-31 10:00","2025-07-31 10:59","12.97476"
"""USME""","2025-07-31 09:00","2025-07-31 09:59","17.48772"
"""USME""","2025-07-31 08:00","2025-07-31 08:59","39.86448"
"""USME""","2025-07-31 07:00","2025-07-31 07:59","37.79604"
"""USME""","2025-07-31 06:00","2025-07-31 06:59","42.309"
"""USME""","2025-07-31 05:00","2025-07-31 05:59","45.1296"
"""USME""","2025-07-31 04:00","2025-07-31 04:59","35.91564"
"""USME""","2025-07-31 03:00","2025-07-31 03:59","34.22328"
"""USME""","2025-07-31 02:00","2025-07-31 02:59","29.33424"
"""USME""","2025-07-31 01:00","2025-07-31 01:59","20.12028"
"""USME""","2025-07-31 00:00","2025-07-31 00:59","18.42792"
"""USME""","2025-07-30 23:00","2025-07-30 23:59","40.80468"
"""USME""","2025-07-30 22:00","2025-07-30 22:59","37.608"
"""USME""","2025-07-30 21:00","2025-07-30 21:59","39.67644"
"""USME""","2025-07-30 20:00","2025-07-30 20:59","41.74488"
"""USME""","2025-07-30 19:00","2025-07-30 19:59","42.309"
"""USME""","2025-07-30 18:00","2025-07-30 18:59","45.1296"
"""USME""","2025-07-30 17:00","2025-07-30 17:59","24.82128"
"""USME""","2025-07-30 16:00","2025-07-30 16:59","14.85516"
"""USME""","2025-07-30 15:00","2025-07-30 15:59","10.71828"
"""USME""","2025-07-30 14:00","2025-07-30 14:59","11.84652"
"""USME""","2025-07-30 13:00","2025-07-30 13:59","9.77808"
"""USME""","2025-07-30 12:00","2025-07-30 12:59","10.15416"
"""USME""","2025-07-30 11:00","2025-07-30 11:59","10.3422"
"""USME""","2025-07-30 10:00","2025-07-30 10:59","9.02592"
"""USME""","2025-07-30 09:00","2025-07-30 09:59","11.47044"
"""USME""","2025-07-30 08:00","2025-07-30 08:59","13.72692"
"""USME""","2025-07-30 07:00","2025-07-30 07:59","29.1462"
"""USME""","2025-07-30 06:00","2025-07-30 06:59","29.89836"
"""USME""","2025-07-30 05:00","2025-07-30 05:59","33.28308"
"""USME""","2025-07-30 04:00","2025-07-30 04:59","28.39404"
"""USME""","2025-07-30 03:00","2025-07-30 03:59","13.35084"
"""USME""","2025-07-30 02:00","2025-07-30 02:59","17.11164"
"""USME""","2025-07-30 01:00","2025-07-30 01:59","16.54752"
"""USME""","2025-07-30 00:00","2025-07-30 00:59","19.18008"
"""USME""","2025-07-29 23:00","2025-07-29 23:59","19.93224"
"""USME""","2025-07-29 22:00","2025-07-29 22:59","16.73556"
"""USME""","2025-07-29 21:00","2025-07-29 21:59","18.99204"
"""USME""","2025-07-29 20:00","2025-07-29 20:59","23.88108"
"""USME""","2025-07-29 19:00","2025-07-29 19:59","24.25716"
"""USME""","2025-07-29 18:00","2025-07-29 18:59","36.47976"
"""USME""","2025-07-29 17:00","2025-07-29 17:59","22.00068"
"""USME""","2025-07-29 16:00","2025-07-29 16:59","11.65848"
"""USME""","2025-07-29 15:00","2025-07-29 15:59","8.27376"
"""USME""","2025-07-29 14:00","2025-07-29 14:59","8.08572"
"""USME""","2025-07-29 13:00","2025-07-29 13:59","7.70964"
"""USME""","2025-07-29 12:00","2025-07-29 12:59","8.08572"
"""USME""","2025-07-29 11:00","2025-07-29 11:59","14.103"
"""USME""","2025-07-29 10:00","2025-07-29 10:59","12.2226"
"""USME""","2025-07-29 09:00","2025-07-29 09:59","10.53024"
"""USME""","2025-07-29 08:00","2025-07-29 08:59","14.29104"
"""USME""","2025-07-29 07:00","2025-07-29 07:59","17.8638"
"""USME""","2025-07-29 06:00","2025-07-29 06:59","45.31764"
"""USME""","2025-07-29 05:00","2025-07-29 05:59","46.82196"
"""USME""","2025-07-29 04:00","2025-07-29 04:59","33.28308"
"""USME""","2025-07-29 03:00","2025-07-29 03:59","15.60732"
"""USME""","2025-07-29 02:00","2025-07-29 02:59","12.41064"
"""USME""","2025-07-29 01:00","2025-07-29 01:59","12.97476"
"""USME""","2025-07-29 00:00","2025-07-29 00:59","18.99204"
"""USME""","2025-07-28 23:00","2025-07-28 23:59","19.93224"
"""USME""","2025-07-28 22:00","2025-07-28 22:59","28.39404"
"""USME""","2025-07-28 21:00","2025-07-28 21:59","31.77876"
"""USME""","2025-07-28 20:00","2025-07-28 20:59","33.09504"
"""USME""","2025-07-28 19:00","2025-07-28 19:59","29.89836"
"""USME""","2025-07-28 18:00","2025-07-28 18:59","33.8472"
"""USME""","2025-07-28 17:00","2025-07-28 17:59","12.97476"
"""USME""","2025-07-28 16:00","2025-07-28 16:59","12.78672"
"""USME""","2025-07-28 15:00","2025-07-28 15:59","9.21396"
"""USME""","2025-07-28 14:00","2025-07-28 14:59","7.5216"
"""USME""","2025-07-28 13:00","2025-07-28 13:59","17.48772"
"""USME""","2025-07-28 12:00","2025-07-28 12:59","12.41064"
"""USME""","2025-07-28 11:00","2025-07-28 11:59","15.23124"
"""USME""","2025-07-28 10:00","2025-07-28 10:59","12.78672"
"""USME""","2025-07-28 09:00","2025-07-28 09:59","11.09436"
