"Estacion","Fecha inicial","Fecha final","O3"
"""USME""","2025-07-31 22:00","2025-07-31 22:59","12.9492"
"""USME""","2025-07-31 21:00","2025-07-31 21:59","11.9682"
"""USME""","2025-07-31 20:00","2025-07-31 20:59","13.5378"
"""USME""","2025-07-31 19:00","2025-07-31 19:59","27.0756"
"""USME""","2025-07-31 18:00","2025-07-31 18:59","43.9488"
"""USME""","2025-07-31 17:00","2025-07-31 17:59","45.3222"
"""USME""","2025-07-31 16:00","2025-07-31 16:59","47.2842"
"""USME""","2025-07-31 15:00","2025-07-31 15:59","47.8728"
"""USME""","2025-07-31 14:00","2025-07-31 14:59","46.3032"
"""USME""","2025-07-31 13:00","2025-07-31 13:59","48.2652"
"""USME""","2025-07-31 12:00","2025-07-31 12:59","47.2842"
"""USME""","2025-07-31 11:00","2025-07-31 11:59","47.8728"
"""USME""","2025-07-31 10:00","2025-07-31 10:59","43.164"
"""USME""","2025-07-31 09:00","2025-07-31 09:59","38.4552"
"""USME""","2025-07-31 08:00","2025-07-31 08:59","22.3668"
"""USME""","2025-07-31 07:00","2025-07-31 07:59","13.9302"
"""USME""","2025-07-31 06:00","2025-07-31 06:59","6.6708"
"""USME""","2025-07-31 05:00","2025-07-31 05:59","3.7278"
"""USME""","2025-07-31 03:00","2025-07-31 03:59","0.981"
"""USME""","2025-07-31 02:00","2025-07-31 02:59","7.2594"
"""USME""","2025-07-31 01:00","2025-07-31 01:59","19.62"
"""USME""","2025-07-31 00:00","2025-07-31 00:59","21.9744"
"""USME""","2025-07-30 23:00","2025-07-30 23:59","9.2214"
"""USME""","2025-07-30 22:00","2025-07-30 22:59","10.791"
"""USME""","2025-07-30 21:00","2025-07-30 21:59","7.6518"
"""USME""","2025-07-30 20:00","2025-07-30 20:59","9.81"
"""USME""","2025-07-30 19:00","2025-07-30 19:59","10.0062"
"""USME""","2025-07-30 18:00","2025-07-30 18:59","14.9112"
"""USME""","2025-07-30 17:00","2025-07-30 17:59","33.1578"
"""USME""","2025-07-30 16:00","2025-07-30 16:59","43.9488"
"""USME""","2025-07-30 15:00","2025-07-30 15:59","47.4804"
"""USME""","2025-07-30 14:00","2025-07-30 14:59","46.107"
"""USME""","2025-07-30 13:00","2025-07-30 13:59","49.05"
"""USME""","2025-07-30 12:00","2025-07-30 12:59","49.05"
"""USME""","2025-07-30 11:00","2025-07-30 11:59","50.4234"
"""USME""","2025-07-30 10:00","2025-07-30 10:59","51.4044"
"""USME""","2025-07-30 09:00","2025-07-30 09:59","44.7336"
"""USME""","2025-07-30 08:00","2025-07-30 08:59","40.221"
"""USME""","2025-07-30 07:00","2025-07-30 07:59","24.9174"
"""USME""","2025-07-30 06:00","2025-07-30 06:59","16.8732"
"""USME""","2025-07-30 05:00","2025-07-30 05:59","13.734"
"""USME""","2025-07-30 04:00","2025-07-30 04:59","18.639"
"""USME""","2025-07-30 03:00","2025-07-30 03:59","32.7654"
"""USME""","2025-07-30 02:00","2025-07-30 02:59","24.9174"
"""USME""","2025-07-30 01:00","2025-07-30 01:59","25.8984"
"""USME""","2025-07-30 00:00","2025-07-30 00:59","24.9174"
"""USME""","2025-07-29 23:00","2025-07-29 23:59","25.7022"
"""USME""","2025-07-29 22:00","2025-07-29 22:59","29.6262"
"""USME""","2025-07-29 21:00","2025-07-29 21:59","28.8414"
"""USME""","2025-07-29 20:00","2025-07-29 20:59","27.6642"
"""USME""","2025-07-29 19:00","2025-07-29 19:59","24.1326"
"""USME""","2025-07-29 18:00","2025-07-29 18:59","19.0314"
"""USME""","2025-07-29 17:00","2025-07-29 17:59","30.2148"
"""USME""","2025-07-29 16:00","2025-07-29 16:59","38.8476"
"""USME""","2025-07-29 15:00","2025-07-29 15:59","40.221"
"""USME""","2025-07-29 14:00","2025-07-29 14:59","39.24"
"""USME""","2025-07-29 13:00","2025-07-29 13:59","39.0438"
"""USME""","2025-07-29 12:00","2025-07-29 12:59","41.3982"
"""USME""","2025-07-29 11:00","2025-07-29 11:59","38.259"
"""USME""","2025-07-29 10:00","2025-07-29 10:59","40.0248"
"""USME""","2025-07-29 09:00","2025-07-29 09:59","41.3982"
"""USME""","2025-07-29 08:00","2025-07-29 08:59","33.7464"
"""USME""","2025-07-29 07:00","2025-07-29 07:59","29.43"
"""USME""","2025-07-29 06:00","2025-07-29 06:59","7.0632"
"""USME""","2025-07-29 05:00","2025-07-29 05:59","5.4936"
"""USME""","2025-07-29 04:00","2025-07-29 04:59","13.3416"
"""USME""","2025-07-29 03:00","2025-07-29 03:59","22.1706"
"""USME""","2025-07-29 02:00","2025-07-29 02:59","25.506"
"""USME""","2025-07-29 01:00","2025-07-29 01:59","24.1326"
"""USME""","2025-07-29 00:00","2025-07-29 00:59","18.0504"
"""USME""","2025-07-28 23:00","2025-07-28 23:59","17.8542"
"""USME""","2025-07-28 22:00","2025-07-28 22:59","10.791"
"""USME""","2025-07-28 21:00","2025-07-28 21:59","8.0442"
"""USME""","2025-07-28 20:00","2025-07-28 20:59","10.5948"
"""USME""","2025-07-28 19:00","2025-07-28 19:59","15.1074"
"""USME""","2025-07-28 18:00","2025-07-28 18:59","14.5188"
"""USME""","2025-07-28 17:00","2025-07-28 17:59","33.354"
"""USME""","2025-07-28 16:00","2025-07-28 16:59","37.0818"
"""USME""","2025-07-28 15:00","2025-07-28 15:59","40.8096"
"""USME""","2025-07-28 14:00","2025-07-28 14:59","41.7906"
"""USME""","2025-07-28 13:00","2025-07-28 13:59","36.4932"
"""USME""","2025-07-28 12:00","2025-07-28 12:59","40.221"
"""USME""","2025-07-28 11:00","2025-07-28 11:59","39.0438"
"""USME""","2025-07-28 09:00","2025-07-28 09:59","39.24"
"""USME""","2025-07-28 08:00","2025-07-28 08:59","41.3982"
"""USME""","2025-07-28 07:00","2025-07-28 07:59","33.354"
"""USME""","2025-07-28 06:00","2025-07-28 06:59","13.3416"
"""USME""","2025-07-28 05:00","2025-07-28 05:59","9.81"
"""USME""","2025-07-28 04:00","2025-07-28 04:59","40.0248"
"""USME""","2025-07-28 03:00","2025-07-28 03:59","42.3792"
"""USME""","2025-07-28 02:00","2025-07-28 02:59","43.164"
"""USME""","2025-07-28 01:00","2025-07-28 01:59","46.107"
"""USME""","2025-07-28 00:00","2025-07-28 00:59","41.5944"
"""USME""","2025-07-27 23:00","2025-07-27 23:59","45.5184"
"""USME""","2025-07-27 22:00","2025-07-27 22:59","37.4742"
"""USME""","2025-07-27 21:00","2025-07-27 21:59","42.7716"
"""USME""","2025-07-27 20:00","2025-07-27 20:59","41.7906"
"""USME""","2025-07-27 19:00","2025-07-27 19:59","40.6134"
"""USME""","2025-07-27 18:00","2025-07-27 18:59","35.5122"
"""USME""","2025-07-27 17:00","2025-07-27 17:59","38.8476"
"""USME""","2025-07-27 16:00","2025-07-27 16:59","44.5374"
"""USME""","2025-07-27 15:00","2025-07-27 15:59","43.5564"
"""USME""","2025-07-27 14:00","2025-07-27 14:59","42.3792"
"""USME""","2025-07-27 13:00","2025-07-27 13:59","45.5184"
"""USME""","2025-07-27 12:00","2025-07-27 12:59","41.5944"
"""USME""","2025-07-27 11:00","2025-07-27 11:59","44.7336"
"""USME""","2025-07-27 10:00","2025-07-27 10:59","43.3602"
"""USME""","2025-07-27 09:00","2025-07-27 09:59","40.221"
"""USME""","2025-07-27 08:00","2025-07-27 08:59","33.1578"
"""USME""","2025-07-27 07:00","2025-07-27 07:59","33.7464"
"""USME""","2025-07-27 06:00","2025-07-27 06:59","29.8224"
"""USME""","2025-07-27 05:00","2025-07-27 05:59","31.7844"
"""USME""","2025-07-27 04:00","2025-07-27 04:59","29.43"
"""USME""","2025-07-27 03:00","2025-07-27 03:59","30.8034"
"""USME""","2025-07-27 02:00","2025-07-27 02:59","30.8034"
"""USME""","2025-07-27 01:00","2025-07-27 01:59","29.6262"
"""USME""","2025-07-27 00:00","2025-07-27 00:59","22.3668"
"""USME""","2025-07-26 23:00","2025-07-26 23:59","14.9112"
"""USME""","2025-07-26 22:00","2025-07-26 22:59","11.5758"
"""USME""","2025-07-26 21:00","2025-07-26 21:59","17.8542"
"""USME""","2025-07-26 20:00","2025-07-26 20:59","16.677"
"""USME""","2025-07-26 19:00","2025-07-26 19:59","22.1706"
"""USME""","2025-07-26 18:00","2025-07-26 18:59","30.9996"
"""USME""","2025-07-26 17:00","2025-07-26 17:59","31.1958"
"""USME""","2025-07-26 16:00","2025-07-26 16:59","38.6514"
"""USME""","2025-07-26 15:00","2025-07-26 15:59","41.3982"
"""USME""","2025-07-26 14:00","2025-07-26 14:59","41.9868"
"""USME""","2025-07-26 13:00","2025-07-26 13:59","41.5944"
"""USME""","2025-07-26 12:00","2025-07-26 12:59","40.6134"
"""USME""","2025-07-26 11:00","2025-07-26 11:59","38.259"
"""USME""","2025-07-26 10:00","2025-07-26 10:59","36.8856"
"""USME""","2025-07-26 09:00","2025-07-26 09:59","30.8034"
"""USME""","2025-07-26 08:00","2025-07-26 08:59","24.3288"
"""USME""","2025-07-26 07:00","2025-07-26 07:59","4.1202"
"""USME""","2025-07-26 06:00","2025-07-26 06:59","1.3734"
"""USME""","2025-07-26 05:00","2025-07-26 05:59","0.7848"
"""USME""","2025-07-26 04:00","2025-07-26 04:59","0.7848"
"""USME""","2025-07-26 03:00","2025-07-26 03:59","0.7848"
"""USME""","2025-07-26 02:00","2025-07-26 02:59","6.6708"
"""USME""","2025-07-26 01:00","2025-07-26 01:59","20.9934"
"""USME""","2025-07-26 00:00","2025-07-26 00:59","26.0946"
"""USME""","2025-07-25 23:00","2025-07-25 23:59","16.8732"
"""USME""","2025-07-25 22:00","2025-07-25 22:59","16.2846"
"""USME""","2025-07-25 21:00","2025-07-25 21:59","11.1834"
"""USME""","2025-07-25 20:00","2025-07-25 20:59","13.734"
"""USME""","2025-07-25 19:00","2025-07-25 19:59","18.2466"
"""USME""","2025-07-25 18:00","2025-07-25 18:59","24.3288"
"""USME""","2025-07-25 17:00","2025-07-25 17:59","31.7844"
"""USME""","2025-07-25 16:00","2025-07-25 16:59","44.5374"
"""USME""","2025-07-25 15:00","2025-07-25 15:59","43.3602"
"""USME""","2025-07-25 14:00","2025-07-25 14:59","42.5754"
"""USME""","2025-07-25 13:00","2025-07-25 13:59","42.3792"
"""USME""","2025-07-25 12:00","2025-07-25 12:59","41.5944"
"""USME""","2025-07-25 11:00","2025-07-25 11:59","38.8476"
"""USME""","2025-07-25 10:00","2025-07-25 10:59","39.6324"
"""USME""","2025-07-25 09:00","2025-07-25 09:59","33.354"
"""USME""","2025-07-25 08:00","2025-07-25 08:59","34.9236"
"""USME""","2025-07-25 07:00","2025-07-25 07:59","19.8162"
"""USME""","2025-07-25 06:00","2025-07-25 06:59","9.4176"
"""USME""","2025-07-25 05:00","2025-07-25 05:59","10.791"
"""USME""","2025-07-25 04:00","2025-07-25 04:59","12.753"
"""USME""","2025-07-25 03:00","2025-07-25 03:59","15.4998"
"""USME""","2025-07-25 02:00","2025-07-25 02:59","15.696"
"""USME""","2025-07-25 01:00","2025-07-25 01:59","28.0566"
"""USME""","2025-07-25 00:00","2025-07-25 00:59","12.9492"
"""USME""","2025-07-24 23:00","2025-07-24 23:59","20.2086"
"""USME""","2025-07-24 22:00","2025-07-24 22:59","26.2908"
"""USME""","2025-07-24 21:00","2025-07-24 21:59","20.4048"
"""USME""","2025-07-24 20:00","2025-07-24 20:59","16.4808"
"""USME""","2025-07-24 19:00","2025-07-24 19:59","16.677"
"""USME""","2025-07-24 18:00","2025-07-24 18:59","22.563"
"""USME""","2025-07-24 17:00","2025-07-24 17:59","31.392"
"""USME""","2025-07-24 16:00","2025-07-24 16:59","37.278"
"""USME""","2025-07-24 15:00","2025-07-24 15:59","39.6324"
"""USME""","2025-07-24 14:00","2025-07-24 14:59","35.1198"
"""USME""","2025-07-24 13:00","2025-07-24 13:59","33.9426"
"""USME""","2025-07-24 12:00","2025-07-24 12:59","32.5692"
"""USME""","2025-07-24 11:00","2025-07-24 11:59","31.392"
"""USME""","2025-07-24 10:00","2025-07-24 10:59","30.9996"
"""USME""","2025-07-24 09:00","2025-07-24 09:59","31.1958"
"""USME""","2025-07-24 08:00","2025-07-24 08:59","28.0566"
"""USME""","2025-07-24 07:00","2025-07-24 07:59","23.7402"
"""USME""","2025-07-24 06:00","2025-07-24 06:59","17.8542"
"""USME""","2025-07-24 05:00","2025-07-24 05:59","18.8352"
"""USME""","2025-07-24 04:00","2025-07-24 04:59","22.7592"
"""USME""","2025-07-24 03:00","2025-07-24 03:59","25.7022"
"""USME""","2025-07-24 02:00","2025-07-24 02:59","15.8922"
"""USME""","2025-07-24 01:00","2025-07-24 01:59","8.2404"
