"Estacion","Fecha inicial","Fecha final","SO2"
"""USME""","2025-07-31 22:00","2025-07-31 22:59","1.833"
"""USME""","2025-07-31 21:00","2025-07-31 21:59","1.833"
"""USME""","2025-07-31 20:00","2025-07-31 20:59","2.619"
"""USME""","2025-07-31 19:00","2025-07-31 19:59","10.736"
"""USME""","2025-07-31 18:00","2025-07-31 18:59","20.949"
"""USME""","2025-07-31 17:00","2025-07-31 17:59","13.879"
"""USME""","2025-07-31 16:00","2025-07-31 16:59","7.594"
"""USME""","2025-07-31 15:00","2025-07-31 15:59","6.285"
"""USME""","2025-07-31 14:00","2025-07-31 14:59","4.713"
"""USME""","2025-07-31 13:00","2025-07-31 13:59","4.713"
"""USME""","2025-07-31 12:00","2025-07-31 12:59","4.19"
"""USME""","2025-07-31 11:00","2025-07-31 11:59","3.404"
"""USME""","2025-07-31 10:00","2025-07-31 10:59","2.095"
"""USME""","2025-07-31 09:00","2025-07-31 09:59","1.047"
"""USME""","2025-07-31 08:00","2025-07-31 08:59","8.118"
"""USME""","2025-07-31 07:00","2025-07-31 07:59","22.782"
"""USME""","2025-07-31 06:00","2025-07-31 06:59","10.736"
"""USME""","2025-07-31 05:00","2025-07-31 05:59","6.546"
"""USME""","2025-07-31 04:00","2025-07-31 04:59","6.285"
"""USME""","2025-07-31 03:00","2025-07-31 03:59","4.19"
"""USME""","2025-07-31 02:00","2025-07-31 02:59","2.095"
"""USME""","2025-07-31 01:00","2025-07-31 01:59","2.095"
"""USME""","2025-07-31 00:00","2025-07-31 00:59","3.404"
"""USME""","2025-07-30 23:00","2025-07-30 23:59","17.021"
"""USME""","2025-07-30 22:00","2025-07-30 22:59","38.755"
"""USME""","2025-07-30 21:00","2025-07-30 21:59","18.854"
"""USME""","2025-07-30 20:00","2025-07-30 20:59","17.283"
"""USME""","2025-07-30 19:00","2025-07-30 19:59","29.066"
"""USME""","2025-07-30 18:00","2025-07-30 18:59","6.285"
"""USME""","2025-07-30 17:00","2025-07-30 17:59","11.26"
"""USME""","2025-07-30 16:00","2025-07-30 16:59","10.213"
"""USME""","2025-07-30 15:00","2025-07-30 15:59","10.736"
"""USME""","2025-07-30 14:00","2025-07-30 14:59","11.522"
"""USME""","2025-07-30 13:00","2025-07-30 13:59","7.856"
"""USME""","2025-07-30 12:00","2025-07-30 12:59","10.213"
"""USME""","2025-07-30 11:00","2025-07-30 11:59","8.903"
"""USME""","2025-07-30 10:00","2025-07-30 10:59","7.594"
"""USME""","2025-07-30 09:00","2025-07-30 09:59","7.332"
"""USME""","2025-07-30 08:00","2025-07-30 08:59","4.713"
"""USME""","2025-07-30 07:00","2025-07-30 07:59","6.546"
"""USME""","2025-07-30 06:00","2025-07-30 06:59","17.806"
"""USME""","2025-07-30 05:00","2025-07-30 05:59","9.165"
"""USME""","2025-07-30 04:00","2025-07-30 04:59","6.023"
"""USME""","2025-07-30 03:00","2025-07-30 03:59","15.45"
"""USME""","2025-07-30 02:00","2025-07-30 02:59","11.784"
"""USME""","2025-07-30 01:00","2025-07-30 01:59","10.736"
"""USME""","2025-07-30 00:00","2025-07-30 00:59","13.617"
"""USME""","2025-07-29 23:00","2025-07-29 23:59","16.759"
"""USME""","2025-07-29 22:00","2025-07-29 22:59","9.951"
"""USME""","2025-07-29 21:00","2025-07-29 21:59","10.998"
"""USME""","2025-07-29 20:00","2025-07-29 20:59","7.594"
"""USME""","2025-07-29 19:00","2025-07-29 19:59","5.499"
"""USME""","2025-07-29 18:00","2025-07-29 18:59","2.095"
"""USME""","2025-07-29 17:00","2025-07-29 17:59","4.975"
"""USME""","2025-07-29 16:00","2025-07-29 16:59","7.594"
"""USME""","2025-07-29 15:00","2025-07-29 15:59","8.903"
"""USME""","2025-07-29 14:00","2025-07-29 14:59","7.856"
"""USME""","2025-07-29 13:00","2025-07-29 13:59","6.285"
"""USME""","2025-07-29 12:00","2025-07-29 12:59","8.641"
"""USME""","2025-07-29 11:00","2025-07-29 11:59","6.023"
"""USME""","2025-07-29 10:00","2025-07-29 10:59","8.903"
"""USME""","2025-07-29 09:00","2025-07-29 09:59","9.951"
"""USME""","2025-07-29 08:00","2025-07-29 08:59","12.831"
"""USME""","2025-07-29 07:00","2025-07-29 07:59","10.736"
"""USME""","2025-07-29 06:00","2025-07-29 06:59","10.736"
"""USME""","2025-07-29 05:00","2025-07-29 05:59","13.879"
"""USME""","2025-07-29 04:00","2025-07-29 04:59","6.546"
"""USME""","2025-07-29 03:00","2025-07-29 03:59","2.095"
"""USME""","2025-07-29 02:00","2025-07-29 02:59","2.88"
"""USME""","2025-07-29 01:00","2025-07-29 01:59","7.332"
"""USME""","2025-07-29 00:00","2025-07-29 00:59","11.26"
"""USME""","2025-07-28 23:00","2025-07-28 23:59","5.237"
"""USME""","2025-07-28 22:00","2025-07-28 22:59","18.854"
"""USME""","2025-07-28 21:00","2025-07-28 21:59","36.66"
"""USME""","2025-07-28 20:00","2025-07-28 20:59","21.473"
"""USME""","2025-07-28 19:00","2025-07-28 19:59","3.666"
"""USME""","2025-07-28 18:00","2025-07-28 18:59","7.594"
"""USME""","2025-07-28 17:00","2025-07-28 17:59","9.165"
"""USME""","2025-07-28 16:00","2025-07-28 16:59","15.973"
"""USME""","2025-07-28 15:00","2025-07-28 15:59","9.951"
"""USME""","2025-07-28 14:00","2025-07-28 14:59","8.903"
"""USME""","2025-07-28 13:00","2025-07-28 13:59","6.546"
"""USME""","2025-07-28 12:00","2025-07-28 12:59","10.474"
"""USME""","2025-07-28 11:00","2025-07-28 11:59","7.856"
"""USME""","2025-07-28 10:00","2025-07-28 10:59","8.118"
"""USME""","2025-07-28 07:00","2025-07-28 07:59","7.594"
