ANO;CODIGO_LOCALIDAD;NOMBRE_LOCALIDAD;SEXO;EDAD;ORDEN_MCV;CURSODEVIDA;ORDEN_GRUPO_EDAD;GRUPOEDAD;POBLACION_7
2005;1;Usaquén;Hombres;0;1;Primera Infancia;1;0 a 4;2909
2005;1;Usaquén;Hombres;1;1;Primera Infancia;1;0 a 4;2954
2005;1;Usaquén;Hombres;2;1;Primera Infancia;1;0 a 4;2919
2005;1;Usaquén;Hombres;3;1;Primera Infancia;1;0 a 4;2989
2005;1;Usaquén;Hombres;4;1;Primera Infancia;1;0 a 4;3079
2005;1;Usaquén;Hombres;5;1;Primera Infancia;2;5 a 9;3245
2005;1;Usaquén;Hombres;6;2;Infancia;2;5 a 9;3309
2005;1;Usaquén;Hombres;7;2;Infancia;2;5 a 9;3493
2005;1;Usaquén;Hombres;8;2;Infancia;2;5 a 9;3619
2005;1;Usaquén;Hombres;9;2;Infancia;2;5 a 9;3503
2005;1;Usaquén;Hombres;10;2;Infancia;3;10 a 14;3617
2005;1;Usaquén;Hombres;11;2;Infancia;3;10 a 14;3392
2005;1;Usaquén;Hombres;12;3;Adolescencia;3;10 a 14;3584
2005;1;Usaquén;Hombres;13;3;Adolescencia;3;10 a 14;3380
2005;1;Usaquén;Hombres;14;3;Adolescencia;3;10 a 14;3239
2005;1;Usaquén;Hombres;15;3;Adolescencia;4;15 a 19;3363
2005;1;Usaquén;Hombres;16;3;Adolescencia;4;15 a 19;3255
2005;1;Usaquén;Hombres;17;3;Adolescencia;4;15 a 19;3455
2005;1;Usaquén;Hombres;18;4;Juventud;4;15 a 19;3450
2005;1;Usaquén;Hombres;19;4;Juventud;4;15 a 19;3435
2005;1;Usaquén;Hombres;20;4;Juventud;5;20 a 24;3616
2005;1;Usaquén;Hombres;21;4;Juventud;5;20 a 24;3568
2005;1;Usaquén;Hombres;22;4;Juventud;5;20 a 24;3505
2005;1;Usaquén;Hombres;23;4;Juventud;5;20 a 24;3644
2005;1;Usaquén;Hombres;24;4;Juventud;5;20 a 24;3465
2005;1;Usaquén;Hombres;25;4;Juventud;6;25 a 29;3503
2005;1;Usaquén;Hombres;26;4;Juventud;6;25 a 29;3392
