PK_Fecha,Ano,Mes,NombreMes
202001,2020,1,Enero
202002,2020,2,Febrero
202003,2020,3,Marzo
202004,2020,4,Abril
202005,2020,5,Mayo
202006,2020,6,Junio
202007,2020,7,Julio
202008,2020,8,Agosto
202009,2020,9,Septiembre
202010,2020,10,Octubre
202011,2020,11,Noviembre
202012,2020,12,Diciembre
202101,2021,1,Enero
202102,2021,2,Febrero
202103,2021,3,Marzo
202104,2021,4,Abril
202105,2021,5,Mayo
202106,2021,6,Junio
202107,2021,7,Julio
202108,2021,8,Agosto
202109,2021,9,Septiembre
202110,2021,10,Octubre
202111,2021,11,Noviembre
202112,2021,12,Diciembre
202201,2022,1,Enero
202202,2022,2,Febrero
202203,2022,3,Marzo
202204,2022,4,Abril
202205,2022,5,Mayo
202206,2022,6,Junio
202207,2022,7,Julio
202208,2022,8,Agosto
202209,2022,9,Septiembre
202210,2022,10,Octubre
202211,2022,11,Noviembre
202212,2022,12,Diciembre
202301,2023,1,Enero
202302,2023,2,Febrero
202303,2023,3,Marzo
202304,2023,4,Abril
202305,2023,5,Mayo
202306,2023,6,Junio
202307,2023,7,Julio
202308,2023,8,Agosto
202309,2023,9,Septiembre
202310,2023,10,Octubre
202311,2023,11,Noviembre
202312,2023,12,Diciembre
202401,2024,1,Enero
202402,2024,2,Febrero
202403,2024,3,Marzo
202404,2024,4,Abril
202405,2024,5,Mayo
202406,2024,6,Junio
202407,2024,7,Julio
202408,2024,8,Agosto
202409,2024,9,Septiembre
202410,2024,10,Octubre
202411,2024,11,Noviembre
202412,2024,12,Diciembre
