PK_LocalidadFecha,PK_Fecha,PK_Localidad,Poblacion_Total,Poblacion_Hombres,Poblacion_Mujeres
1,202001,1,642989,315843,327146
2,202001,2,383577,181305,202272
3,202001,3,1046951,503223,543728
4,202001,4,250855,122500,128355
5,202001,5,399766,193584,206182
6,202001,6,1213498,572894,640604
7,202001,7,558873,257778,301095
8,202001,8,383401,187789,195612
9,202002,1,642989,315843,327146
10,202002,2,383577,181305,202272
11,202002,3,1046951,503223,543728
12,202002,4,250855,122500,128355
13,202002,5,399766,193584,206182
14,202002,6,1213498,572894,640604
15,202002,7,558873,257778,301095
16,202002,8,383401,187789,195612
17,202003,1,642989,315843,327146
18,202003,2,383577,181305,202272
19,202003,3,1046951,503223,543728
20,202003,4,250855,122500,128355
21,202003,5,399766,193584,206182
22,202003,6,1213498,572894,640604
23,202003,7,558873,257778,301095
24,202003,8,383401,187789,195612
25,202004,1,642989,315843,327146
26,202004,2,383577,181305,202272
27,202004,3,1046951,503223,543728
28,202004,4,250855,122500,128355
29,202004,5,399766,193584,206182
30,202004,6,1213498,572894,640604
31,202004,7,558873,257778,301095
32,202004,8,383401,187789,195612
33,202005,1,642989,315843,327146
34,202005,2,383577,181305,202272
35,202005,3,1046951,503223,543728
36,202005,4,250855,122500,128355
37,202005,5,399766,193584,206182
38,202005,6,1213498,572894,640604
39,202005,7,558873,257778,301095
40,202005,8,383401,187789,195612
41,202006,1,642989,315843,327146
42,202006,2,383577,181305,202272
43,202006,3,1046951,503223,543728
44,202006,4,250855,122500,128355
45,202006,5,399766,193584,206182
46,202006,6,1213498,572894,640604
47,202006,7,558873,257778,301095
48,202006,8,383401,187789,195612
49,202007,1,642989,315843,327146
50,202007,2,383577,181305,202272
51,202007,3,1046951,503223,543728
52,202007,4,250855,122500,128355
53,202007,5,399766,193584,206182
54,202007,6,1213498,572894,640604
55,202007,7,558873,257778,301095
56,202007,8,383401,187789,195612
57,202008,1,642989,315843,327146
58,202008,2,383577,181305,202272
59,202008,3,1046951,503223,543728
60,202008,4,250855,122500,128355
61,202008,5,399766,193584,206182
62,202008,6,1213498,572894,640604
63,202008,7,558873,257778,301095
64,202008,8,383401,187789,195612
65,202009,1,642989,315843,327146
66,202009,2,383577,181305,202272
67,202009,3,1046951,503223,543728
68,202009,4,250855,122500,128355
69,202009,5,399766,193584,206182
70,202009,6,1213498,572894,640604
71,202009,7,558873,257778,301095
72,202009,8,383401,187789,195612
73,202010,1,642989,315843,327146
74,202010,2,383577,181305,202272
75,202010,3,1046951,503223,543728
76,202010,4,250855,122500,128355
77,202010,5,399766,193584,206182
78,202010,6,1213498,572894,640604
79,202010,7,558873,257778,301095
80,202010,8,383401,187789,195612
81,202011,1,642989,315843,327146
82,202011,2,383577,181305,202272
83,202011,3,1046951,503223,543728
84,202011,4,250855,122500,128355
85,202011,5,399766,193584,206182
86,202011,6,1213498,572894,640604
87,202011,7,558873,257778,301095
88,202011,8,383401,187789,195612
89,202012,1,642989,315843,327146
90,202012,2,383577,181305,202272
91,202012,3,1046951,503223,543728
92,202012,4,250855,122500,128355
93,202012,5,399766,193584,206182
94,202012,6,1213498,572894,640604
95,202012,7,558873,257778,301095
96,202012,8,383401,187789,195612
97,202101,1,652533,320471,332062
98,202101,2,388044,183282,204762
99,202101,3,1061182,510068,551114
100,202101,4,252241,123312,128929
101,202101,5,401341,194161,207180
102,202101,6,1230255,582179,648076
103,202101,7,567530,261614,305916
104,202101,8,388786,190185,198601
105,202102,1,652533,320471,332062
106,202102,2,388044,183282,204762
107,202102,3,1061182,510068,551114
108,202102,4,252241,123312,128929
109,202102,5,401341,194161,207180
110,202102,6,1230255,582179,648076
111,202102,7,567530,261614,305916
112,202102,8,388786,190185,198601
113,202103,1,652533,320471,332062
114,202103,2,388044,183282,204762
115,202103,3,1061182,510068,551114
116,202103,4,252241,123312,128929
117,202103,5,401341,194161,207180
118,202103,6,1230255,582179,648076
119,202103,7,567530,261614,305916
120,202103,8,388786,190185,198601
121,202104,1,652533,320471,332062
122,202104,2,388044,183282,204762
123,202104,3,1061182,510068,551114
124,202104,4,252241,123312,128929
125,202104,5,401341,194161,207180
126,202104,6,1230255,582179,648076
127,202104,7,567530,261614,305916
128,202104,8,388786,190185,198601
129,202105,1,652533,320471,332062
130,202105,2,388044,183282,204762
131,202105,3,1061182,510068,551114
132,202105,4,252241,123312,128929
133,202105,5,401341,194161,207180
134,202105,6,1230255,582179,648076
135,202105,7,567530,261614,305916
136,202105,8,388786,190185,198601
137,202106,1,652533,320471,332062
138,202106,2,388044,183282,204762
139,202106,3,1061182,510068,551114
140,202106,4,252241,123312,128929
141,202106,5,401341,194161,207180
142,202106,6,1230255,582179,648076
143,202106,7,567530,261614,305916
144,202106,8,388786,190185,198601
145,202107,1,652533,320471,332062
146,202107,2,388044,183282,204762
147,202107,3,1061182,510068,551114
148,202107,4,252241,123312,128929
149,202107,5,401341,194161,207180
150,202107,6,1230255,582179,648076
151,202107,7,567530,261614,305916
152,202107,8,388786,190185,198601
153,202108,1,652533,320471,332062
154,202108,2,388044,183282,204762
155,202108,3,1061182,510068,551114
156,202108,4,252241,123312,128929
157,202108,5,401341,194161,207180
158,202108,6,1230255,582179,648076
159,202108,7,567530,261614,305916
160,202108,8,388786,190185,198601
161,202109,1,652533,320471,332062
162,202109,2,388044,183282,204762
163,202109,3,1061182,510068,551114
164,202109,4,252241,123312,128929
165,202109,5,401341,194161,207180
166,202109,6,1230255,582179,648076
167,202109,7,567530,261614,305916
168,202109,8,388786,190185,198601
169,202110,1,652533,320471,332062
170,202110,2,388044,183282,204762
171,202110,3,1061182,510068,551114
172,202110,4,252241,123312,128929
173,202110,5,401341,194161,207180
174,202110,6,1230255,582179,648076
175,202110,7,567530,261614,305916
176,202110,8,388786,190185,198601
177,202111,1,652533,320471,332062
178,202111,2,388044,183282,204762
179,202111,3,1061182,510068,551114
180,202111,4,252241,123312,128929
181,202111,5,401341,194161,207180
182,202111,6,1230255,582179,648076
183,202111,7,567530,261614,305916
184,202111,8,388786,190185,198601
185,202112,1,652533,320471,332062
186,202112,2,388044,183282,204762
187,202112,3,1061182,510068,551114
188,202112,4,252241,123312,128929
189,202112,5,401341,194161,207180
190,202112,6,1230255,582179,648076
191,202112,7,567530,261614,305916
192,202112,8,388786,190185,198601
193,202201,1,659992,324114,335878
194,202201,2,390261,184113,206148
195,202201,3,1069465,513826,555639
196,202201,4,252491,123378,129113
197,202201,5,401520,194001,207519
198,202201,6,1239208,588067,651141
199,202201,7,572346,264113,308233
200,202201,8,392872,192020,200852
201,202202,1,659992,324114,335878
202,202202,2,390261,184113,206148
203,202202,3,1069465,513826,555639
204,202202,4,252491,123378,129113
205,202202,5,401520,194001,207519
206,202202,6,1239208,588067,651141
207,202202,7,572346,264113,308233
208,202202,8,392872,192020,200852
209,202203,1,659992,324114,335878
210,202203,2,390261,184113,206148
211,202203,3,1069465,513826,555639
212,202203,4,252491,123378,129113
213,202203,5,401520,194001,207519
214,202203,6,1239208,588067,651141
215,202203,7,572346,264113,308233
216,202203,8,392872,192020,200852
217,202204,1,659992,324114,335878
218,202204,2,390261,184113,206148
219,202204,3,1069465,513826,555639
220,202204,4,252491,123378,129113
221,202204,5,401520,194001,207519
222,202204,6,1239208,588067,651141
223,202204,7,572346,264113,308233
224,202204,8,392872,192020,200852
225,202205,1,659992,324114,335878
226,202205,2,390261,184113,206148
227,202205,3,1069465,513826,555639
228,202205,4,252491,123378,129113
