PK_Mortalidad,PK_Fecha,PK_Localidad,Muertes_Totales,Muertes_Totales_Hombres,Muertes_Totales_Mujeres,Muertes_CIE10_Agrupada,Muertes_CIE10_Basica
1,202001,1,16,14,2,16,16
2,202001,2,4,2,2,4,4
3,202001,3,23,11,12,23,23
4,202001,4,9,2,7,9,9
5,202001,5,11,5,6,11,11
6,202001,6,26,14,12,26,26
7,202001,7,16,11,5,16,16
8,202001,8,11,6,5,11,11
9,202002,1,16,10,6,16,16
10,202002,2,13,8,5,13,13
11,202002,3,18,9,9,18,18
12,202002,4,7,5,2,7,7
13,202002,5,13,7,6,13,13
14,202002,6,32,15,17,32,32
15,202002,7,10,5,5,10,10
16,202002,8,9,5,4,9,9
17,202003,1,20,10,10,20,20
18,202003,2,4,3,1,4,4
19,202003,3,22,14,8,22,22
20,202003,4,6,5,1,6,6
21,202003,5,7,4,3,7,7
22,202003,6,26,18,8,26,26
23,202003,7,4,2,2,4,4
24,202003,8,12,7,5,12,12
25,202004,1,13,6,7,13,13
26,202004,2,9,5,4,9,9
27,202004,3,20,15,5,20,20
28,202004,4,3,2,1,3,3
29,202004,5,12,8,4,12,12
30,202004,6,16,8,8,16,16
31,202004,7,12,5,7,12,12
32,202004,8,14,10,4,14,14
33,202005,1,20,14,6,20,20
34,202005,2,11,7,4,11,11
35,202005,3,29,19,10,29,29
36,202005,4,2,2,0,2,2
37,202005,5,8,6,2,8,8
38,202005,6,18,13,5,18,18
39,202005,7,7,4,3,7,7
40,202005,8,10,6,4,10,10
41,202006,1,18,11,7,18,18
42,202006,2,11,9,2,11,11
43,202006,3,28,19,9,28,28
44,202006,4,10,8,2,10,10
45,202006,5,13,8,5,13,13
46,202006,6,27,14,13,27,27
47,202006,7,13,9,4,13,13
48,202006,8,16,10,6,16,16
49,202007,1,33,20,13,33,33
50,202007,2,10,7,3,10,10
51,202007,3,32,15,17,32,32
52,202007,4,6,4,2,6,6
53,202007,5,18,11,7,18,18
54,202007,6,28,16,12,28,28
55,202007,7,11,5,6,11,11
56,202007,8,15,11,4,15,15
57,202008,1,21,12,9,21,21
58,202008,2,9,5,4,9,9
59,202008,3,36,22,14,36,36
60,202008,4,7,6,1,7,7
